iter	Passed	Remaining
0	3	616
1	5	528
2	7	494
3	9	479
4	11	466
5	14	462
6	16	455
7	18	453
8	21	448
9	23	445
10	26	447
11	28	445
12	30	445
13	33	444
14	35	442
15	38	442
16	41	441
17	43	439
18	45	437
19	48	435
20	50	433
21	53	431
22	55	429
23	58	427
24	60	425
25	63	424
26	65	422
27	68	420
28	70	418
29	73	416
30	76	414
31	78	412
32	81	410
33	83	408
34	86	405
35	88	403
36	91	401
37	93	398
38	95	395
39	98	393
40	100	390
41	103	387
42	105	385
43	108	383
44	110	381
45	113	379
46	115	376
47	118	374
48	120	371
49	123	369
50	125	367
51	128	364
52	130	362
53	133	359
54	135	357
55	138	355
56	140	352
57	142	349
58	145	347
59	147	344
60	149	341
61	151	338
62	154	335
63	156	332
64	158	329
65	160	326
66	162	323
67	165	320
68	167	317
69	169	315
70	171	312
71	174	309
72	176	306
73	178	303
74	180	301
75	182	298
76	185	295
77	187	293
78	189	290
79	191	287
80	194	285
81	196	282
82	198	280
83	201	277
84	203	275
85	205	272
86	208	270
87	210	267
88	212	265
89	214	262
90	217	260
91	219	257
92	222	255
93	224	253
94	227	251
95	229	248
96	232	246
97	234	243
98	236	241
99	238	238
100	241	236
101	243	233
102	245	231
103	248	229
104	251	227
105	253	224
106	256	222
107	258	220
108	261	218
109	263	215
110	266	213
111	268	211
112	271	208
113	273	206
114	276	204
115	278	201
116	281	199
117	283	197
118	286	194
119	288	192
120	290	189
121	293	187
122	295	185
123	298	182
124	301	180
125	303	178
126	306	175
127	308	173
128	311	171
129	313	169
130	316	166
131	319	164
132	321	161
133	324	159
134	326	157
135	328	154
136	330	152
137	332	149
138	335	147
139	337	144
140	339	141
141	341	139
142	343	137
143	345	134
144	348	132
145	350	129
146	352	127
147	355	124
148	357	122
149	359	119
150	361	117
151	364	114
152	366	112
153	368	110
154	371	107
155	373	105
156	376	103
157	378	100
158	381	98
159	383	95
160	386	93
161	388	91
162	391	88
163	393	86
164	396	84
165	398	81
166	401	79
167	403	76
168	406	74
169	408	72
170	411	69
171	413	67
172	416	64
173	418	62
174	421	60
175	423	57
176	425	55
177	427	52
178	430	50
179	432	48
180	435	45
181	437	43
182	440	40
183	442	38
184	444	36
185	447	33
186	449	31
187	452	28
188	455	26
189	457	24
190	460	21
191	462	19
192	465	16
193	467	14
194	470	12
195	472	9
196	475	7
197	477	4
198	480	2
199	482	0
