iter	MAE
0	8.152477494
1	8.099872836
2	8.054130945
3	8.007820777
4	7.962089745
5	7.924441883
6	7.878423494
7	7.840356311
8	7.785830943
9	7.760925681
10	7.724908707
11	7.683248516
12	7.643172279
13	7.607788935
14	7.571973226
15	7.544644735
16	7.525025485
17	7.489865456
18	7.466679108
19	7.441620375
20	7.410815771
21	7.384487294
22	7.352483906
23	7.321122097
24	7.300073022
25	7.275218389
26	7.255815964
27	7.23456827
28	7.208940869
29	7.185217027
30	7.165256444
31	7.140792346
32	7.127311532
33	7.109133132
34	7.087343348
35	7.069150514
36	7.050499903
37	7.031444559
38	7.020869845
39	7.007471879
40	6.99462402
41	6.973307372
42	6.95822853
43	6.954515817
44	6.940835636
45	6.925043674
46	6.906363432
47	6.893363335
48	6.877155437
49	6.868431251
50	6.85391062
51	6.84375584
52	6.831623432
53	6.818471114
54	6.806890898
55	6.794290659
56	6.77857881
57	6.769644929
58	6.754917672
59	6.738532449
60	6.725917557
61	6.714636705
62	6.70442951
63	6.693535818
64	6.687409228
65	6.676804933
66	6.670850551
67	6.663376813
68	6.653689845
69	6.647902569
70	6.639877616
71	6.626467455
72	6.619331352
73	6.615234023
74	6.607543802
75	6.601703131
76	6.592822318
77	6.583029282
78	6.575048816
79	6.567779636
80	6.559173493
81	6.549081216
82	6.539063399
83	6.532212919
84	6.528769051
85	6.518981265
86	6.510319345
87	6.499616908
88	6.493502262
89	6.485994926
90	6.483501718
91	6.476264309
92	6.469818687
93	6.464402215
94	6.455240051
95	6.449431703
96	6.443011747
97	6.437635575
98	6.433301781
99	6.428379282
100	6.421920562
101	6.414966697
102	6.407121305
103	6.40152961
104	6.393845518
105	6.384928754
106	6.379985003
107	6.372484027
108	6.364699743
109	6.357415373
110	6.354308517
111	6.344928758
112	6.33896406
113	6.335109719
114	6.328954228
115	6.324152076
116	6.320137179
117	6.310954022
118	6.305803367
119	6.300383484
120	6.292301616
121	6.286959727
122	6.279060935
123	6.272928165
124	6.267430066
125	6.264885543
126	6.255409878
127	6.247839048
128	6.241397345
129	6.23552194
130	6.231980066
131	6.226592664
132	6.223303832
133	6.216218865
134	6.206060905
135	6.203552249
136	6.198280748
137	6.192628344
138	6.187955566
139	6.184930394
140	6.17881861
141	6.17107401
142	6.166895528
143	6.16288748
144	6.16098295
145	6.157584774
146	6.152633213
147	6.150555004
148	6.147927803
149	6.141474387
150	6.135823064
151	6.130431053
152	6.124223541
153	6.119630306
154	6.115211757
155	6.108335452
156	6.105291364
157	6.098610485
158	6.09432238
159	6.087692952
160	6.084178654
161	6.081895545
162	6.077035164
163	6.071639609
164	6.069500318
165	6.06467989
166	6.060806564
167	6.057234025
168	6.051648865
169	6.048293688
170	6.04340436
171	6.040165831
172	6.034966622
173	6.030999031
174	6.029855826
175	6.022574766
176	6.015492158
177	6.01240111
178	6.009830316
179	6.006099864
180	6.000910523
181	5.996173237
182	5.990233887
183	5.987153518
184	5.981999688
185	5.97745487
186	5.975082109
187	5.971977645
188	5.970587263
189	5.967950956
190	5.965770224
191	5.961780829
192	5.956784316
193	5.951020749
194	5.946929144
195	5.94032006
196	5.936599197
197	5.934843216
198	5.932431221
199	5.92795722
200	5.924140259
201	5.919612533
202	5.916833179
203	5.914544679
204	5.911720541
205	5.908743124
206	5.905907264
207	5.903520126
208	5.900303313
209	5.898345771
210	5.895370621
211	5.892034889
212	5.888781799
213	5.88618346
214	5.882751303
215	5.880642361
216	5.878236484
217	5.874236261
218	5.871083412
219	5.868242465
220	5.864958695
221	5.861605771
222	5.859151983
223	5.857215741
224	5.853798534
225	5.851622424
226	5.846793155
227	5.843433272
228	5.837339502
229	5.834352951
230	5.832478943
231	5.830249791
232	5.828207108
233	5.824838856
234	5.82153497
235	5.818545371
236	5.814566258
237	5.811461477
238	5.808482846
239	5.806748488
240	5.805117184
241	5.803240022
242	5.802097743
243	5.797416427
244	5.794404022
245	5.790145112
246	5.785341636
247	5.781432282
248	5.777244536
249	5.774859824
250	5.770116606
251	5.768797946
252	5.765068683
253	5.760691049
254	5.756544581
255	5.753741924
256	5.749054426
257	5.742162608
258	5.740059178
259	5.738192458
260	5.736220792
261	5.734014379
262	5.730002511
263	5.727859895
264	5.724091289
265	5.721810235
266	5.717195715
267	5.71175082
268	5.709312762
269	5.707309333
270	5.704380055
271	5.698158519
272	5.695754758
273	5.692103458
274	5.690199433
275	5.687426518
276	5.683905258
277	5.682609233
278	5.679378311
279	5.676454296
280	5.670971302
281	5.667606573
282	5.6660074
283	5.663272509
284	5.660593896
285	5.656213653
286	5.652694382
287	5.649605905
288	5.64573052
289	5.643095172
290	5.640903031
291	5.633854679
292	5.632852212
293	5.63083577
294	5.627079865
295	5.62276202
296	5.618915947
297	5.618320926
298	5.614561262
299	5.61192343
300	5.608530323
301	5.603684609
302	5.59825277
303	5.594882711
304	5.592153266
305	5.589494878
306	5.585261642
307	5.581994219
308	5.577930783
309	5.575601205
310	5.571154896
311	5.567691387
312	5.565203574
313	5.562173367
314	5.555081314
315	5.551385404
316	5.546963963
317	5.545941023
318	5.543683736
319	5.540164225
320	5.535084767
321	5.532705258
322	5.529990948
323	5.528850039
324	5.526974576
325	5.52590471
326	5.523088081
