iter	Passed	Remaining
0	136	68218
1	138	34362
2	139	23053
3	140	17396
4	141	14001
5	142	11744
6	144	10148
7	145	8930
8	146	7999
9	147	7241
10	149	6628
11	150	6115
12	151	5684
13	153	5312
14	154	4994
15	155	4706
16	157	4465
17	158	4241
18	159	4040
19	160	3860
20	162	3701
21	163	3551
22	164	3417
23	165	3291
24	167	3179
25	168	3071
26	169	2976
27	171	2883
28	172	2800
29	173	2719
30	175	2648
31	176	2576
32	177	2511
33	178	2449
34	179	2391
35	181	2337
36	182	2283
37	184	2237
38	185	2192
39	186	2146
40	188	2104
41	189	2062
42	190	2024
43	191	1983
44	192	1947
45	193	1914
46	195	1882
47	196	1851
48	197	1821
49	199	1792
50	200	1765
51	201	1738
52	203	1713
53	204	1687
54	205	1665
55	207	1641
56	208	1619
57	209	1597
58	210	1576
59	212	1556
60	213	1535
61	214	1516
62	215	1497
63	217	1480
64	218	1462
65	219	1444
66	220	1427
67	222	1411
68	223	1395
69	224	1381
70	226	1366
71	227	1352
72	228	1338
73	230	1324
74	231	1310
75	232	1296
76	233	1283
77	235	1271
78	236	1259
79	237	1247
80	238	1236
81	240	1224
82	241	1213
83	242	1202
84	244	1191
85	245	1181
86	246	1170
87	247	1160
88	249	1150
89	250	1140
90	251	1130
91	252	1121
92	254	1112
93	255	1103
94	256	1094
95	258	1086
96	259	1077
97	260	1069
98	261	1060
99	263	1052
100	264	1044
101	265	1036
102	266	1028
103	268	1021
104	269	1013
105	270	1006
106	271	998
107	273	991
108	274	984
109	275	977
110	276	969
111	278	963
112	279	956
113	280	949
114	281	943
115	283	937
116	284	930
117	285	924
118	286	918
119	288	912
120	289	906
121	290	900
122	292	895
123	293	889
124	294	883
125	295	877
126	297	872
127	298	867
128	299	862
129	301	856
130	302	851
131	303	846
132	304	841
133	306	836
134	307	831
135	308	826
136	309	821
137	311	816
138	312	811
139	313	806
140	315	802
141	316	797
142	317	792
143	318	788
144	320	783
145	321	779
146	322	774
147	323	770
148	325	765
149	326	761
150	328	758
151	329	755
152	331	752
153	333	748
154	334	745
155	336	741
156	337	738
157	339	734
158	340	731
159	342	727
160	343	724
161	345	720
162	346	717
163	348	713
164	350	710
165	351	707
166	353	704
167	354	700
168	355	697
169	357	693
170	358	690
171	360	686
172	361	683
173	362	679
174	364	676
