iter	RMSE
0	2936.054257
1	2459.176858
2	2267.970449
3	2144.035815
4	2087.094014
5	2046.270379
6	2023.783229
7	1977.190184
8	1950.843149
9	1928.546445
10	1913.911434
11	1890.176521
12	1880.7417
13	1871.185283
14	1852.202293
15	1846.203958
16	1837.459069
17	1825.300425
18	1819.683972
19	1811.774109
20	1802.752281
21	1798.091465
22	1793.252641
23	1788.879536
24	1780.695633
25	1776.69237
26	1771.913623
27	1768.121008
28	1764.919911
29	1762.327495
30	1758.32037
31	1755.137018
32	1751.037769
33	1747.391639
34	1743.513979
35	1740.585822
36	1735.677713
37	1732.526199
38	1729.47478
39	1726.817966
40	1723.324255
41	1720.614379
42	1718.682996
43	1716.322986
44	1713.956008
45	1712.327168
46	1709.633239
47	1706.490921
48	1702.886138
49	1701.180889
50	1698.739535
51	1696.572069
52	1692.957627
53	1690.677596
54	1688.956924
55	1684.603588
56	1682.539739
57	1680.656277
58	1679.723895
59	1677.553284
60	1675.056601
61	1673.710929
62	1671.983794
63	1670.808164
64	1668.479224
65	1666.813689
66	1664.458557
67	1663.161565
68	1661.991194
69	1660.565695
70	1659.944813
71	1658.392371
72	1655.610198
73	1653.833529
74	1651.895173
75	1649.886899
76	1648.761032
77	1647.522755
78	1645.828855
79	1644.601889
80	1643.520171
81	1642.204431
82	1640.148033
83	1639.24696
84	1637.839955
85	1637.234571
86	1636.253553
87	1634.691813
88	1633.78957
89	1631.845042
90	1630.372356
91	1629.161545
92	1626.722145
93	1625.545265
94	1624.595775
95	1624.531039
96	1623.29395
97	1621.948428
98	1620.653372
99	1619.679894
100	1618.637426
101	1617.785305
102	1616.614017
103	1615.531997
104	1613.456084
105	1612.264796
106	1611.122218
107	1610.037121
108	1608.794822
109	1607.76211
110	1606.942142
111	1605.710902
112	1604.842037
113	1603.824121
114	1603.286259
115	1602.258037
116	1602.224853
117	1601.274392
118	1600.557616
119	1599.653599
120	1598.747268
121	1598.019051
122	1597.128898
123	1596.490268
124	1595.913173
125	1594.67705
126	1593.822711
127	1592.862774
128	1592.239188
129	1591.266539
130	1589.900424
131	1589.047625
132	1588.020371
133	1587.154019
134	1586.475838
135	1585.892707
136	1585.092128
137	1584.039375
138	1583.397182
139	1582.635677
140	1581.71968
141	1580.954455
142	1580.023659
143	1579.391039
144	1578.854493
145	1577.640929
146	1577.017977
147	1576.371921
148	1575.684306
149	1574.496668
150	1573.90671
151	1573.376542
152	1572.423084
153	1571.466254
154	1570.597248
155	1569.738799
156	1568.949748
157	1568.260298
158	1567.178611
159	1566.296329
160	1564.44467
161	1563.923293
162	1563.09053
163	1562.441621
164	1561.873457
165	1561.092771
166	1560.788606
167	1560.102017
168	1559.087562
169	1558.385294
170	1556.983616
171	1555.966844
172	1555.471136
173	1554.912993
174	1554.514176
175	1553.941723
176	1553.332927
177	1552.889202
178	1552.20964
179	1551.87102
180	1551.58382
181	1551.033633
182	1550.286324
183	1549.711117
184	1549.165403
185	1548.370694
186	1547.88473
187	1547.037328
188	1546.355665
189	1545.170428
190	1544.665812
191	1544.230915
192	1543.683171
193	1543.289142
194	1542.738395
195	1542.222445
196	1541.873517
197	1541.265958
198	1540.49655
199	1539.728356
200	1539.493417
201	1538.77436
202	1538.217018
203	1537.968711
204	1537.48675
205	1536.90322
206	1536.565794
207	1536.09955
208	1535.710375
209	1535.365881
210	1534.770811
211	1534.219959
212	1533.976786
213	1533.450003
214	1532.988324
215	1532.924901
216	1532.224346
217	1532.18696
218	1531.398082
219	1530.547673
220	1530.041582
221	1529.61176
222	1529.276404
223	1528.665776
224	1528.310248
225	1527.470008
226	1526.974309
227	1525.932993
228	1525.372381
229	1524.803855
230	1524.132003
231	1523.862588
232	1523.438061
233	1522.995622
234	1522.192467
235	1521.844009
236	1521.424267
237	1521.036579
238	1520.675333
239	1520.21221
240	1519.847258
241	1519.303464
242	1518.94962
243	1518.675895
244	1518.172677
245	1517.765612
246	1517.344519
247	1516.791467
248	1516.380413
249	1515.801564
250	1515.240411
251	1514.891572
252	1514.517729
253	1514.286322
254	1513.94938
255	1513.621153
256	1513.405363
257	1512.957251
258	1512.393587
259	1512.117015
260	1511.874695
261	1511.177673
262	1510.683249
263	1510.155641
264	1509.937094
265	1509.448484
266	1508.886091
267	1508.596409
268	1508.24313
269	1507.745719
270	1507.401783
271	1507.037466
272	1506.551979
273	1506.124424
274	1505.898805
275	1505.585835
276	1505.329364
277	1505.2766
278	1504.832315
279	1504.058519
280	1503.869764
281	1503.586845
282	1503.546213
283	1503.003721
284	1502.459787
285	1502.252175
286	1501.811273
287	1501.392993
288	1501.090445
289	1500.671428
290	1500.260125
291	1499.416879
292	1499.096063
293	1498.62686
294	1498.347479
295	1497.952009
296	1497.590924
297	1496.977284
298	1496.64971
299	1496.138157
300	1495.57152
301	1495.098588
302	1494.647879
303	1494.393693
304	1494.1904
305	1493.867611
306	1493.527078
307	1493.12795
308	1492.636186
309	1492.283479
310	1491.708351
311	1491.02292
312	1490.672155
313	1490.455316
314	1489.963733
315	1489.194654
316	1488.552714
317	1488.460907
318	1488.166235
319	1487.378167
320	1486.903474
321	1486.576243
322	1486.287808
323	1485.889387
324	1485.465888
325	1485.005127
326	1484.63875
327	1484.445933
328	1484.189724
329	1483.682936
330	1483.441467
331	1482.696545
332	1482.344564
333	1481.965703
334	1481.301412
335	1481.230205
336	1480.851244
337	1480.699252
338	1480.476146
339	1480.387078
340	1480.17757
341	1479.837913
342	1479.628388
343	1479.309129
344	1479.056976
345	1478.751341
346	1478.644409
347	1478.471922
348	1477.320068
349	1477.135357
350	1476.984562
351	1476.69192
352	1476.374567
353	1476.186768
354	1476.002399
355	1475.634112
356	1475.396172
357	1474.937288
358	1474.503592
359	1474.25107
360	1473.749071
361	1473.37805
362	1473.165359
363	1472.956209
364	1472.614453
365	1472.318371
366	1472.016125
367	1471.651124
368	1471.433297
369	1471.276862
370	1470.702314
371	1470.648442
372	1470.383883
373	1469.934377
374	1469.657837
375	1469.341182
376	1468.933441
377	1468.365355
378	1468.055751
379	1467.800056
380	1467.5058
381	1467.178493
382	1466.899035
383	1466.669338
384	1466.150223
385	1465.874607
386	1465.686248
387	1464.896546
388	1464.711232
389	1464.265444
390	1463.990727
391	1463.701599
392	1463.111693
393	1462.801211
394	1462.501348
395	1462.357375
396	1462.15468
397	1461.77901
398	1461.60404
399	1461.404651
400	1461.038706
401	1460.682745
402	1460.557857
403	1460.138845
404	1459.651761
405	1459.526638
406	1459.436171
407	1459.156952
408	1458.497478
409	1458.007536
410	1457.641795
411	1457.255481
412	1456.983978
413	1456.468133
414	1456.285492
415	1456.015871
416	1455.9115
417	1455.670653
418	1455.426994
419	1455.231396
420	1454.944887
421	1454.857874
422	1454.669186
423	1454.506916
424	1454.284773
425	1454.025286
426	1453.709892
427	1453.563192
428	1453.210632
429	1452.907142
430	1452.528281
431	1452.228844
432	1452.102716
433	1451.880666
434	1451.610769
435	1451.218589
436	1450.969869
437	1450.296673
438	1450.262239
439	1450.020728
440	1449.713349
441	1449.231802
442	1449.182417
443	1449.030482
444	1448.772822
445	1448.278053
446	1447.945227
447	1447.824042
448	1447.453657
449	1447.197381
450	1447.004087
451	1446.785594
452	1446.622344
453	1446.323482
454	1446.080182
455	1445.816679
456	1445.594181
457	1445.201677
458	1444.668683
459	1444.380642
460	1444.176246
461	1443.904973
462	1443.607169
463	1443.227239
464	1443.017715
465	1442.962974
466	1442.868939
467	1442.752955
468	1442.498301
469	1442.322286
470	1442.122826
471	1441.881362
472	1441.684021
473	1441.293513
474	1440.889742
475	1440.732493
476	1440.618977
477	1440.492326
478	1440.332353
479	1440.237828
480	1439.919686
481	1439.460979
482	1439.149418
483	1438.933216
484	1438.579993
485	1438.471509
486	1438.108045
487	1437.935336
488	1437.655825
489	1437.460704
490	1437.28949
491	1437.03863
492	1436.815125
493	1436.495136
494	1436.261066
495	1435.9445
496	1435.779517
497	1435.559665
498	1435.320634
499	1435.027706
