iter	Passed	Remaining
0	8	4080
1	15	3747
2	21	3590
3	29	3633
4	36	3647
5	43	3564
6	49	3490
7	56	3466
8	63	3458
9	70	3455
10	76	3422
11	83	3413
12	90	3380
13	96	3360
14	102	3328
15	108	3288
16	115	3270
17	122	3270
18	128	3255
19	135	3242
20	142	3239
21	148	3228
22	154	3209
23	162	3215
24	168	3202
25	175	3197
26	181	3179
27	187	3158
28	193	3141
29	199	3124
30	206	3119
31	212	3104
32	218	3097
33	225	3090
34	231	3080
35	238	3067
36	244	3054
37	249	3038
38	255	3023
39	262	3015
40	268	3010
41	275	3003
42	281	2994
43	287	2984
44	294	2975
45	300	2965
46	307	2961
47	313	2956
48	319	2944
49	326	2934
50	332	2927
51	338	2918
52	345	2917
53	352	2909
54	358	2899
55	364	2890
56	371	2884
57	377	2875
58	383	2865
59	390	2860
60	396	2856
61	403	2848
62	409	2839
63	415	2828
64	422	2827
65	428	2818
66	435	2813
67	441	2803
68	447	2793
69	453	2786
70	459	2776
71	466	2773
72	472	2765
73	479	2760
74	486	2757
75	492	2748
76	499	2742
77	505	2734
78	511	2728
79	518	2721
80	524	2714
81	531	2708
82	538	2704
83	544	2697
84	551	2691
85	557	2682
86	563	2676
87	569	2668
88	576	2660
89	582	2654
90	589	2647
91	595	2642
92	602	2637
93	608	2630
94	615	2622
95	621	2614
96	627	2606
97	634	2601
98	641	2598
99	647	2591
100	654	2584
101	660	2576
102	666	2568
103	672	2561
104	679	2554
105	685	2548
106	692	2541
107	698	2534
108	704	2528
109	711	2521
110	717	2513
111	723	2506
112	729	2499
113	735	2491
114	741	2483
115	748	2476
116	754	2468
117	761	2465
118	768	2459
119	774	2452
120	780	2445
121	786	2436
122	792	2429
123	798	2421
124	804	2413
125	811	2407
126	817	2401
127	823	2394
128	830	2387
129	837	2382
130	843	2376
131	850	2370
132	856	2363
133	862	2356
134	869	2350
135	875	2342
136	881	2335
137	888	2330
138	894	2323
139	901	2318
140	908	2314
141	916	2310
142	923	2305
143	931	2302
144	938	2296
145	945	2291
146	952	2286
147	958	2280
148	965	2274
149	971	2266
150	977	2260
151	983	2252
152	990	2246
153	997	2240
154	1004	2234
155	1010	2228
156	1016	2221
157	1023	2214
158	1029	2208
159	1036	2202
160	1044	2199
161	1051	2193
162	1058	2188
163	1065	2183
164	1074	2180
165	1080	2173
166	1086	2165
167	1092	2158
168	1098	2152
169	1105	2145
170	1111	2139
171	1118	2133
172	1124	2126
173	1131	2120
174	1138	2113
175	1145	2108
176	1152	2102
177	1159	2097
178	1166	2091
179	1172	2084
180	1179	2078
181	1186	2073
182	1194	2069
183	1203	2067
184	1210	2061
185	1217	2054
186	1223	2048
187	1230	2041
188	1237	2036
189	1245	2031
190	1252	2025
191	1259	2019
192	1265	2013
193	1271	2006
194	1278	1999
195	1284	1992
196	1291	1985
197	1297	1979
198	1304	1972
199	1310	1966
200	1316	1958
201	1323	1952
202	1330	1945
203	1336	1938
204	1342	1932
205	1349	1926
206	1356	1920
207	1363	1913
208	1369	1906
209	1375	1899
210	1382	1893
211	1388	1886
212	1394	1879
213	1401	1873
214	1407	1866
215	1413	1858
216	1419	1851
217	1425	1844
218	1432	1837
219	1439	1831
220	1445	1825
221	1452	1819
222	1459	1812
223	1465	1805
224	1472	1799
225	1478	1792
226	1485	1786
227	1491	1779
228	1498	1773
229	1504	1766
230	1511	1760
231	1518	1754
232	1525	1748
233	1532	1741
234	1538	1735
235	1545	1728
236	1551	1721
237	1557	1714
238	1564	1708
239	1570	1701
240	1577	1695
241	1584	1689
242	1590	1682
243	1597	1676
244	1603	1669
245	1610	1662
246	1616	1655
247	1623	1649
248	1629	1642
249	1635	1635
250	1643	1629
251	1649	1623
252	1656	1616
253	1662	1610
254	1669	1604
255	1675	1597
256	1682	1590
257	1688	1583
258	1694	1577
259	1701	1570
260	1707	1563
261	1714	1557
262	1720	1550
263	1727	1543
264	1733	1537
265	1740	1531
266	1747	1524
267	1753	1518
268	1760	1511
269	1766	1505
270	1773	1498
271	1780	1492
272	1786	1485
273	1792	1478
274	1798	1471
275	1804	1464
276	1811	1458
277	1817	1451
278	1823	1444
279	1830	1437
280	1836	1431
281	1843	1424
282	1850	1418
283	1857	1412
284	1863	1406
285	1870	1399
286	1877	1393
287	1883	1386
288	1889	1379
289	1896	1373
290	1902	1366
291	1909	1360
292	1915	1353
293	1922	1347
294	1929	1340
295	1935	1334
296	1942	1327
297	1949	1321
298	1955	1314
299	1961	1307
300	1968	1301
301	1974	1294
302	1981	1288
303	1987	1281
304	1993	1274
305	2000	1268
306	2006	1261
307	2013	1254
308	2019	1248
309	2026	1242
310	2032	1235
311	2040	1229
312	2047	1223
313	2053	1216
314	2061	1210
315	2067	1203
316	2074	1197
317	2081	1191
318	2088	1184
319	2094	1178
320	2101	1171
321	2107	1165
322	2113	1158
323	2119	1151
324	2126	1144
325	2132	1138
326	2138	1131
327	2145	1124
328	2151	1118
329	2157	1111
330	2163	1104
331	2169	1098
332	2176	1091
333	2183	1085
334	2189	1078
335	2196	1071
336	2202	1065
337	2208	1058
338	2215	1051
339	2221	1045
340	2227	1038
341	2234	1032
342	2240	1025
343	2246	1018
344	2252	1012
345	2259	1005
346	2265	998
347	2271	992
348	2278	985
349	2284	979
350	2291	972
351	2297	965
352	2304	959
353	2310	952
354	2316	946
355	2323	940
356	2330	933
357	2337	927
358	2344	920
359	2351	914
360	2356	907
361	2363	900
362	2369	894
363	2376	887
364	2383	881
365	2390	875
366	2397	868
367	2404	862
368	2411	855
369	2418	849
370	2425	843
371	2432	837
372	2439	830
373	2446	824
374	2453	817
375	2459	811
376	2465	804
377	2473	798
378	2480	791
379	2487	785
380	2493	778
381	2500	772
382	2506	765
383	2512	758
384	2518	752
385	2524	745
386	2530	738
387	2537	732
388	2543	725
389	2550	719
390	2556	712
391	2563	706
392	2570	699
393	2576	693
394	2583	686
395	2590	680
396	2596	673
397	2602	666
398	2608	660
399	2615	653
400	2621	647
401	2628	640
402	2634	634
403	2640	627
404	2647	620
405	2653	614
406	2659	607
407	2666	601
408	2673	594
409	2680	588
410	2687	582
411	2694	575
412	2701	569
413	2708	562
414	2715	556
415	2721	549
416	2727	542
417	2734	536
418	2740	529
419	2746	523
420	2753	516
421	2759	510
422	2765	503
423	2771	496
424	2778	490
425	2784	483
426	2791	477
427	2797	470
428	2803	464
429	2810	457
430	2817	451
431	2824	444
432	2830	437
433	2836	431
434	2843	424
435	2849	418
436	2856	411
437	2863	405
438	2869	398
439	2875	392
440	2881	385
441	2888	379
442	2894	372
443	2900	365
444	2907	359
445	2914	352
446	2921	346
447	2928	339
448	2934	333
449	2941	326
450	2947	320
451	2954	313
452	2960	307
453	2967	300
454	2973	294
455	2980	287
456	2987	281
457	2993	274
458	2999	267
459	3006	261
460	3013	254
461	3019	248
462	3027	241
463	3034	235
464	3040	228
465	3046	222
466	3053	215
467	3060	209
468	3066	202
469	3073	196
470	3079	189
471	3085	183
472	3092	176
473	3098	169
474	3104	163
475	3110	156
476	3118	150
477	3125	143
478	3131	137
479	3138	130
480	3144	124
481	3150	117
482	3156	111
483	3162	104
484	3169	98
485	3176	91
486	3183	84
487	3189	78
488	3196	71
489	3202	65
490	3208	58
491	3215	52
492	3221	45
493	3228	39
494	3234	32
495	3241	26
496	3247	19
497	3253	13
498	3270	6
499	3276	0
